DAY,COUNTY_DESC,REPORT_TYPE,COUNT
4,Carroll,Property Damage Crash,1673
4,Cecil,Fatal Crash,23
4,Cecil,Injury Crash,522
4,Cecil,Property Damage Crash,1366
4,Charles,Fatal Crash,23
4,Charles,Injury Crash,960
4,Charles,Property Damage Crash,2316
4,Dorchester,Fatal Crash,7
4,Dorchester,Injury Crash,229
4,Dorchester,Property Damage Crash,384
4,Frederick,Fatal Crash,18
4,Frederick,Injury Crash,1235
4,Frederick,Property Damage Crash,2641
4,Garrett,Fatal Crash,7
4,Garrett,Injury Crash,207
4,Garrett,Property Damage Crash,430
4,Harford,Fatal Crash,23
4,Harford,Injury Crash,1072
4,Harford,Property Damage Crash,2681
4,Howard,Fatal Crash,22
4,Howard,Injury Crash,1075
4,Howard,Property Damage Crash,3272
4,Kent,Fatal Crash,5
4,Kent,Injury Crash,76
4,Kent,Property Damage Crash,164
4,Montgomery,Fatal Crash,40
4,Montgomery,Injury Crash,4690
4,Montgomery,Property Damage Crash,9376
4,Prince Georges,Fatal Crash,77
4,Prince Georges,Injury Crash,4891
4,Prince Georges,Property Damage Crash,15749
4,Queen Annes,Fatal Crash,4
4,Queen Annes,Injury Crash,259
4,Queen Annes,Property Damage Crash,642
4,Somerset,Fatal Crash,1
4,Somerset,Injury Crash,105
4,Somerset,Property Damage Crash,246
4,St. Marys,Fatal Crash,15
4,St. Marys,Injury Crash,678
4,St. Marys,Property Damage Crash,1179
4,Talbot,Fatal Crash,4
4,Talbot,Injury Crash,275
4,Talbot,Property Damage Crash,663
4,Washington,Fatal Crash,15
4,Washington,Injury Crash,903
4,Washington,Property Damage Crash,2097
4,Wicomico,Fatal Crash,17
4,Wicomico,Injury Crash,830
4,Wicomico,Property Damage Crash,1644
4,Worcester,Fatal Crash,14
4,Worcester,Injury Crash,444
4,Worcester,Property Damage Crash,1106
5,Allegany,Fatal Crash,9
5,Allegany,Injury Crash,208
5,Allegany,Property Damage Crash,394
5,Anne Arundel,Fatal Crash,56
5,Anne Arundel,Injury Crash,2926
5,Anne Arundel,Property Damage Crash,6772
5,Baltimore,Fatal Crash,56
