HOUR,COUNTY_DESC,REPORT_TYPE,COUNT
6,Howard,Fatal Crash,4
6,Howard,Injury Crash,254
6,Howard,Property Damage Crash,694
6,Kent,Fatal Crash,1
6,Kent,Injury Crash,8
6,Kent,Property Damage Crash,49
6,Montgomery,Fatal Crash,4
6,Montgomery,Injury Crash,941
6,Montgomery,Property Damage Crash,1746
6,Prince Georges,Fatal Crash,19
6,Prince Georges,Injury Crash,1027
6,Prince Georges,Property Damage Crash,2913
6,Queen Annes,Fatal Crash,3
6,Queen Annes,Injury Crash,40
6,Queen Annes,Property Damage Crash,157
6,Somerset,Injury Crash,12
6,Somerset,Property Damage Crash,50
6,St. Marys,Fatal Crash,6
6,St. Marys,Injury Crash,123
6,St. Marys,Property Damage Crash,243
6,Talbot,Fatal Crash,1
6,Talbot,Injury Crash,51
6,Talbot,Property Damage Crash,126
6,Washington,Fatal Crash,6
6,Washington,Injury Crash,147
6,Washington,Property Damage Crash,358
6,Wicomico,Fatal Crash,2
6,Wicomico,Injury Crash,85
6,Wicomico,Property Damage Crash,241
6,Worcester,Fatal Crash,4
6,Worcester,Injury Crash,41
6,Worcester,Property Damage Crash,162
7,Allegany,Fatal Crash,1
7,Allegany,Injury Crash,49
7,Allegany,Property Damage Crash,140
7,Anne Arundel,Fatal Crash,7
7,Anne Arundel,Injury Crash,927
7,Anne Arundel,Property Damage Crash,2114
7,Baltimore,Fatal Crash,10
7,Baltimore,Injury Crash,1485
7,Baltimore,Property Damage Crash,4437
7,Baltimore City,Fatal Crash,4
7,Baltimore City,Injury Crash,1414
7,Baltimore City,Property Damage Crash,3094
7,Calvert,Fatal Crash,1
7,Calvert,Injury Crash,94
7,Calvert,Property Damage Crash,239
7,Caroline,Fatal Crash,3
7,Caroline,Injury Crash,51
7,Caroline,Property Damage Crash,121
7,Carroll,Fatal Crash,3
7,Carroll,Injury Crash,181
7,Carroll,Property Damage Crash,541
7,Cecil,Fatal Crash,5
7,Cecil,Injury Crash,118
7,Cecil,Property Damage Crash,348
7,Charles,Fatal Crash,7
7,Charles,Injury Crash,229
7,Charles,Property Damage Crash,612
7,Dorchester,Injury Crash,59
7,Dorchester,Property Damage Crash,123
7,Frederick,Fatal Crash,9
7,Frederick,Injury Crash,368
7,Frederick,Property Damage Crash,810
7,Garrett,Injury Crash,36
7,Garrett,Property Damage Crash,119
7,Harford,Fatal Crash,5
7,Harford,Injury Crash,265
7,Harford,Property Damage Crash,762
7,Howard,Fatal Crash,3
7,Howard,Injury Crash,322
7,Howard,Property Damage Crash,1004
7,Kent,Fatal Crash,1
7,Kent,Injury Crash,21
7,Kent,Property Damage Crash,41
7,Montgomery,Fatal Crash,10
7,Montgomery,Injury Crash,1472
7,Montgomery,Property Damage Crash,2733
7,Prince Georges,Fatal Crash,20
7,Prince Georges,Injury Crash,1365
7,Prince Georges,Property Damage Crash,4056
7,Queen Annes,Fatal Crash,2
7,Queen Annes,Injury Crash,72
7,Queen Annes,Property Damage Crash,161
7,Somerset,Fatal Crash,1
7,Somerset,Injury Crash,24
7,Somerset,Property Damage Crash,77
7,St. Marys,Fatal Crash,1
7,St. Marys,Injury Crash,177
7,St. Marys,Property Damage Crash,338
7,Talbot,Fatal Crash,3
7,Talbot,Injury Crash,95
7,Talbot,Property Damage Crash,189
7,Washington,Fatal Crash,5
7,Washington,Injury Crash,207
7,Washington,Property Damage Crash,544
7,Wicomico,Fatal Crash,5
7,Wicomico,Injury Crash,194
7,Wicomico,Property Damage Crash,442
7,Worcester,Injury Crash,80
7,Worcester,Property Damage Crash,222
8,Allegany,Fatal Crash,1
8,Allegany,Injury Crash,55
8,Allegany,Property Damage Crash,148
8,Anne Arundel,Fatal Crash,5
8,Anne Arundel,Injury Crash,1035
8,Anne Arundel,Property Damage Crash,2298
8,Baltimore,Fatal Crash,2
8,Baltimore,Injury Crash,1634
8,Baltimore,Property Damage Crash,5358
8,Baltimore City,Fatal Crash,3
8,Baltimore City,Injury Crash,1943
8,Baltimore City,Property Damage Crash,4701
8,Calvert,Fatal Crash,1
8,Calvert,Injury Crash,111
8,Calvert,Property Damage Crash,212
8,Caroline,Fatal Crash,1
8,Caroline,Injury Crash,48
8,Caroline,Property Damage Crash,109
8,Carroll,Fatal Crash,2
8,Carroll,Injury Crash,147
8,Carroll,Property Damage Crash,463
8,Cecil,Fatal Crash,4
8,Cecil,Injury Crash,110
8,Cecil,Property Damage Crash,337
8,Charles,Fatal Crash,2
8,Charles,Injury Crash,233
8,Charles,Property Damage Crash,585
8,Dorchester,Fatal Crash,1
8,Dorchester,Injury Crash,57
8,Dorchester,Property Damage Crash,108
8,Frederick,Fatal Crash,4
8,Frederick,Injury Crash,348
8,Frederick,Property Damage Crash,720
8,Garrett,Injury Crash,46
8,Garrett,Property Damage Crash,119
8,Harford,Fatal Crash,2
8,Harford,Injury Crash,279
8,Harford,Property Damage Crash,673
8,Howard,Fatal Crash,6
8,Howard,Injury Crash,356
8,Howard,Property Damage Crash,1048
8,Kent,Fatal Crash,2
8,Kent,Injury Crash,18
8,Kent,Property Damage Crash,54
8,Montgomery,Fatal Crash,8
8,Montgomery,Injury Crash,1748
8,Montgomery,Property Damage Crash,3359
8,Prince Georges,Fatal Crash,15
8,Prince Georges,Injury Crash,1507
8,Prince Georges,Property Damage Crash,4433
8,Queen Annes,Fatal Crash,2
8,Queen Annes,Injury Crash,71
8,Queen Annes,Property Damage Crash,156
8,Somerset,Fatal Crash,1
8,Somerset,Injury Crash,28
8,Somerset,Property Damage Crash,49
8,St. Marys,Fatal Crash,1
8,St. Marys,Injury Crash,165
8,St. Marys,Property Damage Crash,289
8,Talbot,Fatal Crash,1
8,Talbot,Injury Crash,74
8,Talbot,Property Damage Crash,148
8,Washington,Fatal Crash,4
8,Washington,Injury Crash,240
8,Washington,Property Damage Crash,529
8,Wicomico,Fatal Crash,2
8,Wicomico,Injury Crash,235
8,Wicomico,Property Damage Crash,461
8,Worcester,Fatal Crash,3
8,Worcester,Injury Crash,120
8,Worcester,Property Damage Crash,225
9,Allegany,Fatal Crash,2
9,Allegany,Injury Crash,72
9,Allegany,Property Damage Crash,127
9,Anne Arundel,Fatal Crash,6
9,Anne Arundel,Injury Crash,909
9,Anne Arundel,Property Damage Crash,2096
9,Baltimore,Fatal Crash,6
9,Baltimore,Injury Crash,1397
9,Baltimore,Property Damage Crash,4867
9,Baltimore City,Fatal Crash,1
9,Baltimore City,Injury Crash,1561
9,Baltimore City,Property Damage Crash,4231
9,Calvert,Fatal Crash,1
9,Calvert,Injury Crash,91
9,Calvert,Property Damage Crash,193
9,Caroline,Fatal Crash,1
9,Caroline,Injury Crash,56
9,Caroline,Property Damage Crash,70
9,Carroll,Fatal Crash,2
9,Carroll,Injury Crash,170
9,Carroll,Property Damage Crash,414
9,Cecil,Fatal Crash,4
9,Cecil,Injury Crash,123
9,Cecil,Property Damage Crash,305
9,Charles,Fatal Crash,3
9,Charles,Injury Crash,223
9,Charles,Property Damage Crash,497
9,Dorchester,Injury Crash,54
9,Dorchester,Property Damage Crash,93
9,Frederick,Fatal Crash,8
9,Frederick,Injury Crash,328
9,Frederick,Property Damage Crash,694
9,Garrett,Fatal Crash,3
9,Garrett,Injury Crash,51
9,Garrett,Property Damage Crash,95
9,Harford,Fatal Crash,2
9,Harford,Injury Crash,242
9,Harford,Property Damage Crash,588
9,Howard,Fatal Crash,3
9,Howard,Injury Crash,293
9,Howard,Property Damage Crash,941
9,Kent,Fatal Crash,2
9,Kent,Injury Crash,23
9,Kent,Property Damage Crash,43
9,Montgomery,Fatal Crash,7
9,Montgomery,Injury Crash,1569
9,Montgomery,Property Damage Crash,2974
9,Prince Georges,Fatal Crash,12
9,Prince Georges,Injury Crash,1212
9,Prince Georges,Property Damage Crash,3869
9,Queen Annes,Fatal Crash,2
9,Queen Annes,Injury Crash,81
9,Queen Annes,Property Damage Crash,132
9,Somerset,Injury Crash,27
9,Somerset,Property Damage Crash,69
9,St. Marys,Fatal Crash,6
9,St. Marys,Injury Crash,163
9,St. Marys,Property Damage Crash,262
9,Talbot,Fatal Crash,1
9,Talbot,Injury Crash,78
9,Talbot,Property Damage Crash,166
9,Washington,Fatal Crash,2
9,Washington,Injury Crash,212
9,Washington,Property Damage Crash,494
9,Wicomico,Fatal Crash,1
9,Wicomico,Injury Crash,180
9,Wicomico,Property Damage Crash,392
9,Worcester,Fatal Crash,2
9,Worcester,Injury Crash,122
9,Worcester,Property Damage Crash,275
10,Allegany,Fatal Crash,1
10,Allegany,Injury Crash,55
10,Allegany,Property Damage Crash,143
10,Anne Arundel,Fatal Crash,6
10,Anne Arundel,Injury Crash,930
10,Anne Arundel,Property Damage Crash,2022
10,Baltimore,Fatal Crash,7
10,Baltimore,Injury Crash,1340
10,Baltimore,Property Damage Crash,4615
10,Baltimore City,Fatal Crash,6
10,Baltimore City,Injury Crash,1660
10,Baltimore City,Property Damage Crash,4086
10,Calvert,Fatal Crash,1
10,Calvert,Injury Crash,115
10,Calvert,Property Damage Crash,222
10,Caroline,Fatal Crash,2
10,Caroline,Injury Crash,42
10,Caroline,Property Damage Crash,78
10,Carroll,Fatal Crash,3
10,Carroll,Injury Crash,171
10,Carroll,Property Damage Crash,403
10,Cecil,Fatal Crash,4
10,Cecil,Injury Crash,135
10,Cecil,Property Damage Crash,369
10,Charles,Fatal Crash,4
10,Charles,Injury Crash,251
10,Charles,Property Damage Crash,551
10,Dorchester,Fatal Crash,1
10,Dorchester,Injury Crash,64
10,Dorchester,Property Damage Crash,109
10,Frederick,Fatal Crash,4
10,Frederick,Injury Crash,353
10,Frederick,Property Damage Crash,706
10,Garrett,Injury Crash,75
10,Garrett,Property Damage Crash,98
10,Harford,Fatal Crash,2
10,Harford,Injury Crash,244
10,Harford,Property Damage Crash,667
10,Howard,Fatal Crash,5
10,Howard,Injury Crash,284
10,Howard,Property Damage Crash,773
10,Kent,Injury Crash,18
10,Kent,Property Damage Crash,42
10,Montgomery,Fatal Crash,10
10,Montgomery,Injury Crash,1389
10,Montgomery,Property Damage Crash,2654
10,Prince Georges,Fatal Crash,13
10,Prince Georges,Injury Crash,1245
10,Prince Georges,Property Damage Crash,3909
10,Queen Annes,Fatal Crash,3
10,Queen Annes,Injury Crash,68
10,Queen Annes,Property Damage Crash,170
10,Somerset,Injury Crash,30
10,Somerset,Property Damage Crash,64
10,St. Marys,Fatal Crash,1
10,St. Marys,Injury Crash,178
10,St. Marys,Property Damage Crash,294
10,Talbot,Fatal Crash,1
10,Talbot,Injury Crash,90
10,Talbot,Property Damage Crash,195
10,Washington,Fatal Crash,6
10,Washington,Injury Crash,226
10,Washington,Property Damage Crash,539
10,Wicomico,Fatal Crash,1
10,Wicomico,Injury Crash,233
10,Wicomico,Property Damage Crash,421
10,Worcester,Fatal Crash,2
10,Worcester,Injury Crash,131
10,Worcester,Property Damage Crash,309
11,Allegany,Fatal Crash,1
11,Allegany,Injury Crash,101
11,Allegany,Property Damage Crash,148
11,Anne Arundel,Fatal Crash,14
11,Anne Arundel,Injury Crash,1022
11,Anne Arundel,Property Damage Crash,2248
11,Baltimore,Fatal Crash,3
11,Baltimore,Injury Crash,1554
11,Baltimore,Property Damage Crash,5134
11,Baltimore City,Fatal Crash,3
11,Baltimore City,Injury Crash,1737
11,Baltimore City,Property Damage Crash,4270
11,Calvert,Fatal Crash,3
11,Calvert,Injury Crash,125
11,Calvert,Property Damage Crash,267
11,Caroline,Fatal Crash,2
11,Caroline,Injury Crash,54
11,Caroline,Property Damage Crash,96
11,Carroll,Fatal Crash,6
11,Carroll,Injury Crash,200
11,Carroll,Property Damage Crash,524
11,Cecil,Fatal Crash,6
11,Cecil,Injury Crash,161
11,Cecil,Property Damage Crash,399
11,Charles,Fatal Crash,9
11,Charles,Injury Crash,276
11,Charles,Property Damage Crash,626
11,Dorchester,Fatal Crash,1
11,Dorchester,Injury Crash,87
11,Dorchester,Property Damage Crash,118
11,Frederick,Fatal Crash,4
11,Frederick,Injury Crash,340
11,Frederick,Property Damage Crash,712
11,Garrett,Fatal Crash,1
11,Garrett,Injury Crash,52
11,Garrett,Property Damage Crash,125
11,Harford,Fatal Crash,7
